ma_sp,ten,hang,nguoi_min,nguoi_max,dung_tich_lit,dung_tich_la_tong,dien_kwh_nam,ngang_cm,cao_cm,sau_cm,kieu_dang,so_cua,inverter,gia,gia_goc
TLM-001,Bravo 740,Alpha,1.0,2.0,126,0,272,63,163,71,Ngăn đá trên,2 cánh,1,4430000,4430000
TLM-002,Alpha 260,Cosmo,1.0,2.0,169,0,577,68,147,77,Side by Side,2 cánh,1,4270000,4270000
TLM-003,Alpha 981,Alpha,1.0,2.0,119,1,239,,,,Mini,2 cánh,0,7660000,7660000
TLM-004,Alpha 180,Cosmo,1.0,2.0,145,0,401,53,136,56,Ngăn đá dưới,2 cánh,1,6630000,7050000
TLM-005,Cosmo 741,Alpha,1.0,2.0,145,0,206,51,164,71,Ngăn đá trên,2 cánh,1,6520000,6520000
TLM-006,Bravo 572,Alpha,1.0,2.0,171,1,443,72,175,79,Multi Door,2 cánh,1,6010000,6010000
TLM-007,Alpha 419,Bravo,2.0,3.0,223,0,378,94,189,73,Ngăn đá dưới,2 cánh,1,7990000,9130000
TLM-008,Cosmo 988,Alpha,2.0,3.0,254,0,461,,,,Multi Door,2 cánh,0,10410000,11660000
TLM-009,Cosmo 298,Cosmo,2.0,3.0,219,0,529,59,127,61,Ngăn đá dưới,2 cánh,1,9880000,11090000
TLM-010,Cosmo 317,Bravo,2.0,3.0,237,1,360,79,158,65,Ngăn đá trên,2 cánh,0,4900000,5600000
TLM-011,Cosmo 299,Alpha,2.0,3.0,189,1,599,65,149,73,Mini,2 cánh,1,10820000,10820000
TLM-012,Alpha 882,Bravo,2.0,3.0,189,0,482,53,133,60,Mini,2 cánh,1,5250000,5800000
TLM-013,Alpha 932,Cosmo,2.0,3.0,244,0,545,70,130,66,Multi Door,2 cánh,1,10590000,10590000
TLM-014,Alpha 330,Alpha,3.0,4.0,337,0,207,,,,Side by Side,2 cánh,1,15150000,17690000
TLM-015,Alpha 815,Alpha,3.0,4.0,369,0,427,,,,Multi Door,2 cánh,1,15290000,15290000
TLM-016,Bravo 766,Bravo,3.0,4.0,309,1,555,78,183,56,Mini,2 cánh,0,8250000,8820000
TLM-017,Alpha 641,Alpha,3.0,4.0,305,1,391,,,,Mini,2 cánh,0,9710000,9710000
TLM-018,Cosmo 835,Bravo,3.0,4.0,317,1,302,,,,Ngăn đá dưới,2 cánh,1,10000000,10000000
TLM-019,Alpha 713,Bravo,3.0,4.0,343,0,381,,,,Multi Door,2 cánh,1,10920000,12450000
TLM-020,Bravo 938,Bravo,3.0,4.0,288,0,394,,,,Ngăn đá trên,2 cánh,1,10710000,11380000
TLM-021,Bravo 708,Cosmo,3.0,4.0,356,1,573,,,,Mini,2 cánh,0,14750000,14750000
TLM-022,Cosmo 948,Bravo,4.0,5.0,439,0,584,68,138,77,Ngăn đá trên,2 cánh,0,17500000,17500000
TLM-023,Alpha 923,Cosmo,4.0,5.0,493,1,209,80,157,58,Side by Side,2 cánh,1,18370000,18370000
TLM-024,Alpha 474,Cosmo,4.0,5.0,384,0,483,83,132,64,Multi Door,2 cánh,1,20920000,20920000
TLM-025,Bravo 722,Cosmo,4.0,5.0,413,1,420,,,,Side by Side,2 cánh,0,26660000,26660000
TLM-026,Cosmo 800,Cosmo,4.0,5.0,532,0,567,86,187,60,Mini,2 cánh,1,22350000,23600000
TLM-027,Alpha 662,Alpha,4.0,5.0,407,0,410,95,189,60,Multi Door,2 cánh,1,24010000,26680000
TLM-028,Cosmo 601,Bravo,5.0,99.0,560,0,431,87,177,70,Mini,2 cánh,1,59080000,59080000
TLM-029,Alpha 393,Cosmo,5.0,99.0,563,0,504,89,131,66,Mini,2 cánh,1,40640000,40640000
TLM-030,Bravo 515,Bravo,5.0,99.0,587,0,327,,,,Side by Side,2 cánh,1,27630000,29200000
