ma_sp,ten,hang,gia,gia_goc,man_inch,ram_gb,pin_mah,luu_tru_gb,nang_g,sim
TBM-000,Bravo 430,Cosmo,20540000,20540000,8.7,12,8300,256,580,1 Nano SIM
TBM-001,Alpha 828,Cosmo,11110000,11110000,10.4,12,5100,128,350,1 Nano SIM
TBM-002,Cosmo 963,Bravo,12600000,12600000,8.7,4,5100,256,350,1 Nano SIM
TBM-003,Alpha 479,Bravo,5250000,5250000,10.4,6,7040,128,477,1 Nano SIM
TBM-004,Alpha 940,Cosmo,6540000,6540000,8.7,12,5100,256,477,1 Nano SIM
TBM-005,Alpha 999,Alpha,20730000,20730000,10.4,8,8300,128,580,1 Nano SIM
TBM-006,Bravo 162,Alpha,6830000,6830000,12.9,4,10090,64,350,1 Nano SIM
TBM-007,Cosmo 919,Cosmo,19900000,22110000,11,8,10090,128,580,1 Nano SIM
TBM-008,Alpha 362,Alpha,4810000,4810000,8.7,6,7040,256,477,1 Nano SIM
TBM-009,Bravo 462,Alpha,18570000,20630000,12.9,8,7040,64,350,1 Nano SIM
TBM-010,Bravo 773,Cosmo,14200000,14200000,12.9,6,5100,64,477,1 Nano SIM
TBM-011,Cosmo 309,Alpha,10110000,11230000,11,8,8300,128,350,1 Nano SIM
TBM-012,Alpha 662,Bravo,24360000,24360000,10.4,6,10090,256,350,1 Nano SIM
TBM-013,Alpha 655,Cosmo,5130000,5130000,8.7,8,8300,128,580,1 Nano SIM
TBM-014,Bravo 169,Cosmo,4990000,5540000,10.4,12,8300,256,477,1 Nano SIM
TBM-015,Cosmo 724,Bravo,13330000,13330000,10.4,4,10090,128,477,1 Nano SIM
TBM-016,Bravo 523,Bravo,22680000,22680000,12.9,4,7040,128,580,1 Nano SIM
TBM-017,Bravo 260,Alpha,3480000,3870000,10.4,8,7040,64,477,1 Nano SIM
TBM-018,Cosmo 805,Alpha,11120000,12360000,8.7,8,8300,64,350,1 Nano SIM
TBM-019,Bravo 214,Alpha,20240000,20240000,11,12,10090,256,580,1 Nano SIM
TBM-020,Cosmo 704,Cosmo,24660000,24660000,12.9,12,10090,128,350,1 Nano SIM
TBM-021,Alpha 817,Bravo,8050000,8940000,12.9,6,7040,256,350,1 Nano SIM
TBM-022,Bravo 753,Bravo,15900000,15900000,10.4,12,7040,64,350,1 Nano SIM
TBM-023,Alpha 339,Alpha,9700000,9700000,10.4,6,8300,128,350,1 Nano SIM
TBM-024,Cosmo 242,Bravo,5180000,5180000,12.9,4,8300,128,350,1 Nano SIM
