ma_sp,ten,hang,gia,gia_goc,dung_tich_lit,dien_kwh_ngay,ngang_cm,cao_cm,sau_cm,loai
TDM-000,Alpha 178,Cosmo,12880000,12880000,100,1.62,110,85,70,Tủ đông
TDM-001,Cosmo 712,Bravo,23430000,23430000,700,2.83,63,61,70,Tủ mát
TDM-002,Alpha 682,Cosmo,6900000,6900000,300,0.63,110,61,61,Tủ mát
TDM-003,Alpha 253,Bravo,4600000,5100000,300,2.31,54,188,61,Tủ đông
TDM-004,Alpha 977,Alpha,12870000,15090000,500,1.72,110,61,47,Tủ mát
TDM-005,Alpha 235,Bravo,21390000,24470000,300,1.73,63,188,61,Tủ mát
TDM-006,Cosmo 389,Bravo,15700000,15700000,100,2.99,54,85,47,Tủ đông
TDM-007,Alpha 612,Cosmo,16460000,19300000,100,2.37,54,85,47,Tủ mát
TDM-008,Cosmo 358,Alpha,3990000,3990000,200,1.36,63,188,61,Tủ mát
TDM-009,Cosmo 957,Bravo,22080000,22080000,700,0.74,54,188,47,Tủ đông
TDM-010,Bravo 168,Bravo,19280000,22610000,300,2.36,54,188,70,Tủ đông
TDM-011,Cosmo 962,Cosmo,17460000,18770000,500,2.29,54,188,70,Tủ mát
TDM-012,Bravo 188,Alpha,10180000,10180000,700,1.45,63,188,70,Tủ đông
TDM-013,Bravo 463,Cosmo,17130000,18640000,100,1.04,63,61,61,Tủ đông
TDM-014,Cosmo 248,Cosmo,22310000,24690000,200,1.77,110,85,47,Tủ đông
TDM-015,Bravo 959,Cosmo,3840000,3840000,700,0.74,54,61,61,Tủ mát
TDM-016,Bravo 607,Cosmo,22100000,24540000,100,2.33,63,85,61,Tủ mát
TDM-017,Bravo 764,Alpha,12170000,14270000,200,0.93,63,188,47,Tủ đông
TDM-018,Bravo 455,Cosmo,5900000,5900000,100,1.77,54,85,61,Tủ đông
TDM-019,Cosmo 734,Bravo,5410000,5410000,200,0.64,63,61,47,Tủ đông
