ma_sp,ten,hang,gia,gia_goc,pin_ngay,pin_mah,man_inch,nghe_goi,khang_nuoc
DHM-000,Alpha 348,Alpha,8780000,8780000,14,1000,1.43,Nghe gọi trên đồng hồ,IP68
DHM-001,Cosmo 738,Alpha,9790000,10880000,2,1000,1.3,,5ATM
DHM-002,Alpha 236,Bravo,6940000,6940000,5,1000,1.3,Nghe gọi trên đồng hồ,5ATM
DHM-003,Alpha 863,Bravo,8150000,8150000,2,500,1.3,Nghe gọi trên đồng hồ,IP68
DHM-004,Bravo 671,Cosmo,6980000,6980000,14,300,1.3,,5ATM
DHM-005,Alpha 891,Alpha,7720000,8580000,14,500,1.43,,5ATM
DHM-006,Cosmo 757,Alpha,2000000,2220000,14,1000,1.43,,IP68
DHM-007,Cosmo 191,Cosmo,1240000,1240000,2,300,1.8,Nghe gọi trên đồng hồ,5ATM
DHM-008,Cosmo 546,Alpha,10150000,10150000,7,500,1.8,,IP68
DHM-009,Bravo 668,Alpha,11350000,11350000,14,1000,1.3,Nghe gọi trên đồng hồ,IP68
DHM-010,Alpha 421,Bravo,4980000,5530000,5,300,1.43,,5ATM
DHM-011,Alpha 830,Alpha,11870000,11870000,5,1000,1.43,Nghe gọi trên đồng hồ,5ATM
DHM-012,Cosmo 869,Bravo,11660000,11660000,2,300,1.3,,IP68
DHM-013,Bravo 880,Bravo,1750000,1940000,7,300,1.3,,5ATM
DHM-014,Alpha 112,Cosmo,6900000,6900000,2,500,1.8,,5ATM
DHM-015,Alpha 521,Alpha,2690000,2990000,7,1000,1.8,,5ATM
DHM-016,Alpha 392,Cosmo,2580000,2580000,7,300,1.43,,IP68
DHM-017,Cosmo 735,Cosmo,7640000,7640000,14,500,1.8,Nghe gọi trên đồng hồ,IP68
DHM-018,Cosmo 574,Cosmo,8140000,9040000,14,500,1.3,,IP68
DHM-019,Bravo 119,Alpha,10280000,10280000,2,1000,1.43,Nghe gọi trên đồng hồ,5ATM
DHM-020,Bravo 910,Alpha,11040000,11040000,7,300,1.43,Nghe gọi trên đồng hồ,IP68
DHM-021,Cosmo 580,Alpha,7030000,7810000,7,1000,1.8,,5ATM
DHM-022,Cosmo 589,Bravo,8080000,8980000,5,500,1.43,,IP68
DHM-023,Alpha 974,Bravo,5570000,6190000,5,1000,1.8,,5ATM
DHM-024,Bravo 776,Alpha,8860000,9840000,2,300,1.8,,5ATM
