ma_sp,ten,hang,gia,gia_goc,cong_suat_w,loai,an_toan
NNM-000,Bravo 387,Bravo,5230000,5230000,2500,Làm nóng trực tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-001,Alpha 542,Bravo,6540000,6540000,4500,Làm nóng gián tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-002,Alpha 658,Bravo,6040000,6710000,2500,Làm nóng gián tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-003,Cosmo 557,Bravo,8030000,9020000,4500,Làm nóng trực tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-004,Bravo 471,Bravo,10970000,10970000,3500,Làm nóng trực tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-005,Cosmo 216,Cosmo,9610000,9610000,3500,Làm nóng gián tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-006,Bravo 423,Cosmo,6600000,7650000,4500,Làm nóng gián tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-007,Alpha 336,Cosmo,3210000,3210000,2500,Làm nóng gián tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-008,Alpha 677,Alpha,6870000,7490000,2500,Làm nóng gián tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-009,Cosmo 354,Cosmo,9930000,9930000,3500,Làm nóng gián tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-010,Bravo 460,Alpha,7830000,8350000,4500,Làm nóng trực tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-011,Alpha 496,Cosmo,4770000,4770000,4500,Làm nóng gián tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-012,Cosmo 729,Alpha,11570000,11570000,2500,Làm nóng trực tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-013,Cosmo 881,Cosmo,10370000,10370000,3500,Làm nóng trực tiếp,Cầu dao chống rò điện ELCB | Chống giật
NNM-014,Cosmo 444,Alpha,9540000,9540000,4500,Làm nóng trực tiếp,Cầu dao chống rò điện ELCB | Chống giật
