ma_sp,ten,hang,gia,gia_goc,nguoi_min,nguoi_max,tai_kg,dien_wh_kg,vat_vong,bao_hanh_dc_nam,ngang_cm,sau_cm,loai
MGM-000,Cosmo 843,Alpha,19160000,19160000,3.0,5.0,11,24.3,800,,64,65,Cửa trước
MGM-001,Bravo 654,Cosmo,4120000,4440000,3.0,5.0,7,37.1,1200,10,,65,Cửa trên
MGM-002,Bravo 188,Alpha,17740000,19960000,5.0,7.0,7,28.8,1000,5,64,,Cửa trước
MGM-003,Alpha 428,Cosmo,7610000,7610000,5.0,7.0,10,13.0,700,5,64,,Cửa trên
MGM-004,Alpha 695,Bravo,8110000,8110000,5.0,7.0,9,29.1,800,5,54,65,Cửa trước
MGM-005,Bravo 100,Cosmo,11930000,13770000,3.0,5.0,7,35.8,1000,5,57,60,Cửa trước
MGM-006,Bravo 706,Bravo,19230000,19230000,3.0,5.0,9,20.0,800,10,,,Cửa trước
MGM-007,Bravo 656,Alpha,6610000,6610000,5.0,7.0,11,26.6,700,,64,65,Cửa trước
MGM-008,Cosmo 686,Alpha,10890000,11570000,3.0,5.0,9,32.0,1400,5,64,60,Cửa trên
MGM-009,Bravo 611,Cosmo,9260000,9260000,5.0,7.0,9,24.3,1000,2,60,56,Cửa trên
MGM-010,Bravo 722,Alpha,8710000,9260000,5.0,7.0,9,11.1,1400,5,54,56,Cửa trên
MGM-011,Cosmo 660,Bravo,3550000,4090000,3.0,5.0,7,33.6,700,2,64,56,Cửa trước
MGM-012,Cosmo 385,Cosmo,11410000,12570000,3.0,5.0,10,33.7,1400,10,,60,Cửa trên
MGM-013,Alpha 872,Alpha,8340000,8340000,3.0,5.0,8,12.9,700,2,57,60,Cửa trước
MGM-014,Bravo 809,Cosmo,4330000,4330000,5.0,7.0,10,29.1,700,2,64,56,Cửa trước
MGM-015,Bravo 654,Cosmo,10490000,10490000,3.0,5.0,10,27.6,1000,5,57,65,Cửa trước
MGM-016,Alpha 310,Alpha,12770000,14190000,3.0,5.0,11,15.4,1000,,54,60,Cửa trên
MGM-017,Cosmo 508,Cosmo,12810000,12810000,5.0,7.0,8,17.3,1400,,60,56,Cửa trên
MGM-018,Cosmo 837,Cosmo,15650000,15650000,5.0,7.0,11,10.5,800,10,,60,Cửa trước
MGM-019,Cosmo 249,Alpha,8410000,8410000,3.0,5.0,9,30.2,1200,5,64,56,Cửa trên
MGM-020,Bravo 362,Cosmo,5370000,5890000,3.0,5.0,10,27.7,1200,,,65,Cửa trên
MGM-021,Alpha 906,Alpha,11020000,11020000,1.0,2.0,9,21.1,800,,64,60,Cửa trên
MGM-022,Cosmo 551,Alpha,14610000,14610000,3.0,5.0,8,13.0,1400,10,,56,Cửa trước
MGM-023,Bravo 354,Alpha,6160000,6160000,1.0,2.0,7,28.7,1000,2,54,56,Cửa trước
MGM-024,Alpha 839,Bravo,8730000,9840000,3.0,5.0,10,33.0,1400,2,,56,Cửa trước
