ma_sp,ten,hang,pham_vi_min,pham_vi_max,gia,gia_goc,do_on_db,cspf,sao,inverter,lam_lanh_nhanh,loai_may
MAU-001,Alpha 715,Alpha,0.0,15.0,12610000,12610000,43,6.86,5.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-002,Delta 700,Delta,0.0,15.0,9380000,9380000,40,4.43,3.0,0,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-003,Alpha 801,Alpha,0.0,15.0,5890000,5890000,42,5.35,4.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-004,Cosmo 863,Cosmo,0.0,15.0,7010000,7010000,41,6.79,5.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-005,Alpha 760,Alpha,0.0,15.0,5720000,5720000,25,4.86,4.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-006,Epsil 699,Epsil,0.0,15.0,11780000,11780000,24,5.38,4.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-007,Alpha 637,Alpha,0.0,15.0,11420000,11420000,32,6.63,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-008,Delta 884,Delta,0.0,15.0,12860000,12860000,,6.42,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-009,Alpha 245,Alpha,0.0,15.0,9190000,9190000,32,4.35,3.0,0,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-010,Bravo 658,Bravo,0.0,15.0,5980000,5980000,39,4.28,3.0,0,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-011,Delta 511,Delta,0.0,15.0,7460000,7460000,33,5.51,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-012,Cosmo 601,Cosmo,0.0,15.0,4240000,5070000,41,4.74,4.0,0,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-013,Bravo 671,Bravo,0.0,15.0,8880000,8880000,41,6.48,5.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-014,Alpha 903,Alpha,0.0,15.0,7530000,7530000,39,3.36,3.0,0,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-015,Cosmo 165,Cosmo,0.0,15.0,12720000,12720000,33,6.53,5.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-016,Delta 194,Delta,0.0,15.0,6560000,6560000,44,4.44,3.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-017,Epsil 145,Epsil,0.0,15.0,11690000,11690000,25,4.6,4.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-018,Cosmo 981,Cosmo,0.0,15.0,9170000,10080000,40,,5.0,1,1,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-019,Bravo 527,Bravo,0.0,15.0,7660000,8780000,29,6.08,5.0,1,0,Máy lạnh 1 chiều (chỉ làm lạnh)
MAU-020,Bravo 301,Bravo,0.0,15.0,11040000,12320000,34,4.49,3.0,0,1,Máy lạnh 1 chiều (chỉ làm lạnh)
