ma_sp,ten,hang,gia,gia_goc,toc_do_trang,loai,ket_noi
MIM-000,Alpha 343,Cosmo,6280000,6280000,18,Máy in phun màu,USB
MIM-001,Bravo 260,Bravo,8860000,9850000,18,Máy in laser,USB
MIM-002,Cosmo 952,Alpha,6930000,6930000,30,Máy in laser,USB
MIM-003,Bravo 689,Bravo,7450000,7450000,22,Máy in phun màu,Wifi | USB
MIM-004,Cosmo 675,Alpha,5590000,6210000,18,Máy in phun màu,Wifi | USB
MIM-005,Bravo 545,Cosmo,8510000,9460000,22,Máy in phun màu,USB
MIM-006,Cosmo 114,Bravo,5380000,5980000,22,Máy in phun màu,Wifi | USB
MIM-007,Bravo 494,Bravo,3410000,3410000,22,Máy in laser,Wifi | USB
MIM-008,Cosmo 962,Cosmo,4780000,5310000,18,Máy in phun màu,USB
MIM-009,Bravo 959,Cosmo,7230000,7230000,30,Máy in laser,Wifi | USB
MIM-010,Cosmo 815,Bravo,9280000,9280000,30,Máy in phun màu,Wifi | USB
MIM-011,Cosmo 104,Cosmo,2840000,2840000,18,Máy in laser,USB
