ma_sp,ten,hang,gia,gia_goc,ram_gb,ssd_gb,cpu
PCM-000,Bravo 827,Cosmo,20300000,20300000,32,512,Ryzen 5 5600G
PCM-001,Alpha 808,Alpha,30380000,30380000,32,512,i5-12450H
PCM-002,Cosmo 362,Alpha,26840000,26840000,8,1024,Ryzen 5 5600G
PCM-003,Bravo 893,Alpha,33000000,33000000,32,256,Ryzen 5 5600G
PCM-004,Alpha 341,Alpha,21320000,21320000,8,256,Ryzen 5 5600G
PCM-005,Alpha 198,Cosmo,27990000,31100000,32,512,Ryzen 5 5600G
PCM-006,Cosmo 646,Bravo,27490000,30540000,32,512,Ryzen 5 5600G
PCM-007,Bravo 253,Alpha,11080000,11080000,32,1024,i3-12100
PCM-008,Bravo 250,Cosmo,13950000,13950000,16,256,Ryzen 5 5600G
PCM-009,Alpha 694,Cosmo,10660000,10660000,16,512,i5-12450H
PCM-010,Alpha 392,Cosmo,10520000,10520000,32,1024,i5-12450H
PCM-011,Cosmo 342,Bravo,13240000,14710000,8,1024,i3-12100
PCM-012,Alpha 444,Bravo,10880000,12090000,8,256,Ryzen 5 5600G
PCM-013,Alpha 314,Cosmo,19990000,22210000,16,1024,i3-12100
PCM-014,Bravo 325,Bravo,18190000,18190000,32,512,Ryzen 5 5600G
