ma_sp,ten,hang,gia,gia_goc,khoang_cach_m,pin_gio,nhom,loai,ket_noi
MCM-000,Alpha 257,Bravo,740000,820000,,8,thu âm,Không dây,Bluetooth
MCM-001,Alpha 696,Alpha,1730000,1920000,,,karaoke,Không dây,Bluetooth
MCM-002,Alpha 433,Bravo,590000,590000,100,10,karaoke,Không dây,Bluetooth
MCM-003,Alpha 669,Alpha,2470000,2470000,100,10,thu âm,Không dây,Bluetooth
MCM-004,Bravo 955,Alpha,720000,720000,50,6,karaoke,Không dây,Bluetooth
MCM-005,Bravo 375,Bravo,1090000,1090000,50,6,thu âm,Không dây,Bluetooth
MCM-006,Alpha 173,Bravo,1030000,1030000,100,,thu âm,Không dây,Bluetooth
MCM-007,Bravo 806,Bravo,310000,310000,20,8,thu âm,Không dây,Bluetooth
MCM-008,Bravo 790,Alpha,1050000,1050000,,,karaoke,Không dây,Bluetooth
MCM-009,Bravo 306,Alpha,2050000,2280000,,8,thu âm,Không dây,Bluetooth
MCM-010,Bravo 230,Bravo,2440000,2710000,50,,karaoke,Không dây,Bluetooth
MCM-011,Alpha 476,Alpha,340000,340000,50,,karaoke,Không dây,Bluetooth
