ma_sp,ten,hang,gia,gia_goc,bua_min,bua_max,bo_chau_au,do_on_db,nuoc_lit,ngang_cm,cao_cm,sau_cm,loai
RCM-000,Cosmo 257,Bravo,8530000,9360000,2.0,3.0,14,44,11.4,60,76,58,Máy rửa chén độc lập
RCM-001,Bravo 317,Alpha,21910000,23920000,6.0,7.0,15,44,15.0,60,76,58,Máy rửa chén mini
RCM-002,Bravo 261,Cosmo,24930000,24930000,2.0,3.0,13,52,9.5,60,84,60,Máy rửa chén độc lập
RCM-003,Bravo 117,Cosmo,7750000,8410000,4.0,5.0,8,46,10.5,56,76,58,Máy rửa chén mini
RCM-004,Bravo 284,Bravo,14920000,15790000,2.0,3.0,8,42,10.0,45,76,58,Máy rửa chén âm tủ
RCM-005,Alpha 663,Bravo,20710000,20710000,6.0,7.0,13,44,10.2,45,84,58,Máy rửa chén độc lập
RCM-006,Cosmo 650,Bravo,8680000,8680000,6.0,7.0,14,42,12.4,60,76,60,Máy rửa chén âm tủ
RCM-007,Bravo 522,Cosmo,17370000,17370000,6.0,7.0,15,46,12.0,60,84,58,Máy rửa chén độc lập
RCM-008,Cosmo 981,Cosmo,12820000,14290000,2.0,3.0,13,52,11.2,60,76,60,Máy rửa chén âm tủ
RCM-009,Alpha 728,Cosmo,13380000,13380000,2.0,3.0,15,42,11.8,60,76,60,Máy rửa chén âm tủ
RCM-010,Bravo 113,Alpha,19200000,20420000,2.0,3.0,13,52,14.6,56,76,58,Máy rửa chén âm tủ
RCM-011,Bravo 779,Cosmo,8610000,9430000,4.0,5.0,13,44,11.5,60,84,60,Máy rửa chén mini
RCM-012,Bravo 110,Bravo,19160000,19160000,6.0,7.0,8,46,12.3,45,76,58,Máy rửa chén âm tủ
RCM-013,Alpha 677,Cosmo,19890000,22440000,4.0,5.0,13,48,12.5,56,84,60,Máy rửa chén độc lập
RCM-014,Bravo 129,Cosmo,18670000,18670000,4.0,5.0,15,44,15.7,45,76,58,Máy rửa chén mini
