ma_sp,ten,hang,gia,gia_goc,man_inch,dap_ung_ms,do_sang_nit,phan_giai,tam_nen
MHM-000,Alpha 669,Cosmo,13330000,14810000,32,4,250,Full HD,IPS
MHM-001,Alpha 836,Cosmo,7900000,7900000,27,1,250,2K,IPS
MHM-002,Cosmo 628,Bravo,7330000,7330000,24,1,250,2K,IPS
MHM-003,Bravo 643,Bravo,8640000,8640000,24,4,250,2K,VA
MHM-004,Cosmo 763,Alpha,14420000,14420000,32,5,250,2K,VA
MHM-005,Alpha 119,Alpha,7150000,7150000,27,5,300,Full HD,VA
MHM-006,Alpha 557,Cosmo,10440000,10440000,27,4,250,4K,IPS
MHM-007,Alpha 611,Alpha,8730000,8730000,24,1,300,4K,VA
MHM-008,Alpha 726,Cosmo,2600000,2600000,24,4,300,2K,IPS
MHM-009,Alpha 510,Bravo,11800000,13110000,24,4,250,Full HD,IPS
MHM-010,Cosmo 532,Bravo,9580000,9580000,32,4,300,4K,IPS
MHM-011,Bravo 637,Bravo,3810000,4230000,32,1,300,Full HD,VA
MHM-012,Bravo 483,Bravo,7280000,7280000,32,1,250,4K,VA
MHM-013,Bravo 267,Cosmo,10610000,10610000,27,4,250,Full HD,VA
MHM-014,Cosmo 507,Cosmo,12210000,12210000,32,5,300,2K,VA
