ma_sp,ten,hang,gia,gia_goc,nguoi_min,nguoi_max,tai_kg,dien_w,nhiet_toi_da_c,ngang_cm,cao_cm,sau_cm,loai
MSM-000,Alpha 326,Cosmo,15240000,17520000,3.0,5.0,10,850,60,40,48,60,Sấy thông hơi
MSM-001,Alpha 836,Bravo,9470000,11000000,3.0,5.0,4,2000,70,60,84,56,Sấy thông hơi
MSM-002,Bravo 580,Bravo,17340000,17340000,3.0,5.0,10,800,60,40,84,60,Sấy bơm nhiệt
MSM-003,Bravo 648,Cosmo,15750000,15750000,3.0,5.0,10,650,70,60,84,60,Sấy bơm nhiệt
MSM-004,Alpha 659,Alpha,13760000,13760000,3.0,5.0,9,2000,65,40,85,56,Sấy thông hơi
MSM-005,Cosmo 862,Cosmo,5830000,5830000,3.0,5.0,8,800,60,40,48,60,Sấy bơm nhiệt
MSM-006,Bravo 780,Alpha,4970000,5520000,3.0,5.0,4,650,60,60,48,56,Sấy bơm nhiệt
MSM-007,Alpha 377,Alpha,4940000,5810000,3.0,5.0,10,850,60,60,84,56,Sấy bơm nhiệt
MSM-008,Bravo 857,Bravo,11130000,11130000,3.0,5.0,10,800,70,59,48,56,Sấy bơm nhiệt
MSM-009,Alpha 805,Cosmo,12110000,13270000,3.0,5.0,8,850,60,60,85,55,Sấy bơm nhiệt
MSM-010,Bravo 888,Alpha,14600000,14600000,3.0,5.0,10,800,60,60,85,55,Sấy bơm nhiệt
MSM-011,Cosmo 188,Alpha,15690000,15690000,3.0,5.0,8,850,60,40,84,56,Sấy thông hơi
MSM-012,Alpha 569,Bravo,12460000,14290000,3.0,5.0,9,850,70,40,48,56,Sấy bơm nhiệt
MSM-013,Cosmo 531,Bravo,17570000,17570000,3.0,5.0,4,850,65,40,85,60,Sấy bơm nhiệt
MSM-014,Alpha 701,Alpha,6620000,7100000,3.0,5.0,10,650,70,40,84,56,Sấy bơm nhiệt
